word,tag
нам,PRON
учиться,VERB
лодырям,NOUN
что-то,PRON
лень,ADVB
на,PREP
коньках,NOUN
катаемся,VERB
целый,ADJ
день,NOUN
горе,NOUN
однако,CONJ
в,PREP
том,PRON
что ,PRON
подобный,ADJ
же,PART
бред,NOUN
осуществлялся,VERB
в,PREP
реальности,NOUN
в,PREP
жизни,NOUN
в,PREP
судьбах,NOUN
миллионов,NUMR
гансов,NOUN
или,CONJ
иванов,NOUN
излучение,NOUN
электронное,ADJ
или,CONJ
позитронное,ADJ
корпускулярное,ADJ
ионизирующее,PRT
излучение,NOUN
с ,PREP
непрерывным,ADJ
энергетическим,ADJ
спектром,NOUN
испускаемое,PRT
при,PREP
ядерных,ADJ
превращениях,NOUN
теперь,ADVB
вниз,ADVB
бегом,ADVB
по,PREP
набережной,NOUN
шагом,ADVB
марш,NOUN
два,NUMR
дни,NOUN
и,CONJ
две,NUMR
ночи,NOUN
спал,VERB
петро,PROPN
без,PREP
просыпу,ADVB
но ,CONJ
двое,NUMR
молодых ,ADJ
людей,NOUN
сопровождавшие,PRT
больного,NOUN
не ,PART
смеялись,VERB
они,PRON
едва,ADVB
держались,VERB
на,PREP
ногах,NOUN
после,PREP
двух,NUMR
суток,NOUN
проведенных,PRT
без,PREP
сна,NOUN
наедине,ADVB
с,PREP
безумным,ADJ
которого,PRON
они,PRON
только,ADVB
что,PRON
привезли,VERB
по ,PREP
железной,ADJ
дороге,NOUN
сверх,PREP
изорванного,PRT
во,PREP
время,NOUN
припадка,NOUN
в,PREP
клочья,NOUN
серого,ADJ
платья,NOUN
куртка,NOUN
из,PREP
грубой,ADJ
парусины,NOUN
с,PREP
широким,ADJ
вырезом,NOUN
обтягивала,VERB
его,PRON
стан,NOUN
ультраженственность,NOUN
в,PREP
противовес,NOUN
жесткости,NOUN
мужской,ADJ
одежды,NOUN
акцент,NOUN
на,PREP
форме,NOUN
преувеличенные ,PRT
контуры,NOUN
преизбыток,NOUN
и,CONJ
комбинации,NOUN
все,PRON
это,PART
характеризует,VERB
новую,ADJ
коллекцию,NOUN
бельгийского,ADJ
дизайнера,NOUN
локация,NOUN
мфти,NOUN
уникальна,ADJ
рядом,ADVB
с,PREP
институтом,NOUN
расположены,PRT
природные,ADJ
рекреационные ,ADJ
зоны,NOUN
и,CONJ
транспортный,ADJ
хаб,NOUN
ого,INTJ
этот,PRON
дом,NOUN
деревяннее,ADJ
чем,PRON
я ,PRON
ожидал,VERB
обнажая ,GRND
со ,PREP
временем,NOUN
как,CONJ
свою,PRON
историческую,ADJ
ограниченность,NOUN
так,CONJ
и,CONJ
абсурдность,NOUN
тотальных,ADJ
амбиций,NOUN
описать,VERB
всё,PRON
в,PREP
его,PRON
предельной,ADJ
специфике,NOUN
подобная,ADJ
тенденция,NOUN
в,PREP
конкретный,ADJ
момент,NOUN
своего,PRON
объявления,NOUN
и,CONJ
стремительного,ADJ
завоевания,NOUN
людских,ADJ
умов,NOUN
отражает,VERB
какие-то,PRON
новые,ADJ
неизвестные,ADJ
или,CONJ
не,PART
работающие,PRT
досель,ADVB
механизмы,NOUN
и,CONJ
уровни,NOUN
единства,NOUN
всей,PRON
человеческой,ADJ
деятельности,NOUN
клавочка,PROPN
начала,VERB
распространяться,VERB
про,PREP
росторгмонтаж,PROPN
да,PART
так,ADVB
долго,ADVB
говорила,VERB
что,PRON
мне,PRON
показалось,VERB
будто,CONJ
надо,ADVB
идти,VERB
еще,ADVB
и,CONJ
в,PREP
этот,PRON
самый,PRON
росторгмонтаж,PROPN
с,CONJ
этими,PRON
словами,NOUN
он ,PRON
взялся,VERB
за ,PREP
кровать,NOUN
и,CONJ
попытался,VERB
подвинуть,VERB
его,PRON
к,PREP
дверям,NOUN
ну ,PART
что,PRON
спросил,VERB
я ,PRON
пойдемте,VERB
в,PREP
подъезде,NOUN
воняло,VERB
кошками,NOUN
наружная,ADJ
дверь,NOUN
была,VERB
нараспашку,ADVB
она,PRON
всегда,ADVB
была,VERB
нараспашку,ADVB
а,CONJ
прочие,NOUN
общим,ADJ
числом,NOUN
если,CONJ
считать,VERB
до,PREP
лифта,NOUN
четыре,NUMR
штуки,NOUN
сильно,ADVB
покорежены,PRT
